Period,Population Staying at Home,Population Not Staying at Home,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500,State
10.0,12734512.285714285,44658236.71428572,149705025.7142857,38199275.71428572,35787342.85714286,17270028.57142857,21939368.42857143,22761763.14285714,8389214.857142856,3071655.1428571427,1695394.5714285714,419190.14285714284,171792.2857142857,TX
10.0,1602655.5714285714,4719414.428571428,19711913.42857143,5221710.142857143,4733051.142857143,2354193.8571428573,2843023.4285714286,2657926.4285714286,1081139.142857143,420660.71428571426,285382.4285714286,78559.42857142857,36266.71428571428,UT
10.0,4040038.285714286,12994068.857142856,53325763.71428572,14081251.57142857,12440372.42857143,6334620.142857143,7959229.142857143,7827320.285714285,2750720.0,1169177.7142857143,598682.8571428572,109737.28571428571,54652.28571428572,VA
10.0,291678.85714285716,960919.1428571428,4422757.142857143,1048590.5714285714,1094325.7142857143,581840.2857142857,626215.7142857143,688719.7142857143,267338.0,77784.0,29556.285714285714,5622.285714285715,2764.5714285714284,VT
10.0,3995643.1428571427,11071725.714285715,41205198.428571425,12029340.42857143,9656068.42857143,4517947.571428572,5800351.857142857,5951124.142857143,2067979.142857143,734487.7142857143,317159.85714285716,60249.71428571428,70489.57142857143,WA
10.0,2709646.0,8917490.0,33486873.714285713,8193780.857142857,7781055.142857143,3893067.4285714286,4990918.857142857,5160908.857142857,2021546.2857142857,864755.1428571428,464608.5714285714,87577.14285714286,28655.428571428572,WI
10.0,878688.2857142857,2732975.714285714,10937937.714285715,2627902.5714285714,2735700.8571428573,1311046.5714285714,1653275.4285714286,1576719.4285714286,625818.5714285715,266645.71428571426,116495.14285714286,19058.571428571428,5274.857142857143,WV
10.0,284861.14285714284,870612.8571428572,3833052.0,1062436.857142857,1003066.2857142857,475962.0,382999.14285714284,350060.0,292515.4285714286,161012.85714285713,88900.28571428571,11749.714285714286,4349.428571428572,WY
11.0,427765.28571428574,1046506.7142857143,3738839.5714285714,1085049.2857142857,962059.1428571428,472289.14285714284,542921.4285714285,391770.71428571426,178389.42857142858,63851.71428571428,20233.428571428572,7039.285714285715,15236.0,AK
11.0,1827584.2857142857,7948157.714285715,27358115.42857143,6059777.142857143,6541624.857142857,3585273.714285714,4417432.285714285,4236626.857142857,1500623.4285714286,617088.5714285715,318683.71428571426,65301.42857142857,15683.42857142857,AL
11.0,1146739.7142857143,4880910.285714285,17057972.85714286,4039289.4285714286,4273156.571428572,2088996.5714285714,2604654.5714285714,2452420.285714286,920673.1428571428,417173.4285714286,207896.85714285713,43029.71428571428,10682.285714285714,AR
11.0,3918609.4285714286,10424682.57142857,33021071.42857143,8980394.285714285,7307722.0,3619029.4285714286,4799352.857142857,5351736.285714285,1810974.5714285714,598737.1428571428,400591.14285714284,100777.14285714286,51756.57142857143,AZ
11.0,21614595.42857143,57499494.571428575,170815419.42857143,43576610.0,41634473.71428572,19335590.285714287,23931773.714285713,24904914.0,10633126.285714285,4457086.0,1758294.857142857,367040.85714285716,216509.7142857143,CA
11.0,2946928.285714286,8444199.714285715,36349779.428571425,9834220.0,8441499.42857143,4169038.5714285714,5354465.428571428,5414600.0,1755023.4285714286,811291.7142857143,387935.71428571426,95112.0,86593.14285714286,CO
11.0,1745628.857142857,5399701.142857143,21301213.42857143,5416723.714285715,5404335.714285715,2537072.0,3050536.5714285714,3104492.285714286,1141526.5714285714,463808.28571428574,127426.57142857143,22986.0,32305.714285714286,CT
11.0,494086.5714285714,910823.4285714285,4983518.0,1912356.857142857,1205257.142857143,650942.5714285715,675138.8571428572,370378.0,110598.28571428571,29984.85714285714,11891.714285714286,7247.428571428572,9722.285714285714,DC
11.0,459580.0,1474762.0,5705504.285714285,1481924.5714285714,1396578.2857142857,698635.7142857143,875634.0,777267.4285714285,302862.0,120877.42857142857,44818.28571428572,3762.5714285714284,3144.0,DE
11.0,9474878.285714285,33123771.714285713,117611360.28571428,30801658.57142857,29077090.85714286,14763317.42857143,18245248.285714287,16354272.857142856,5193204.0,1857256.2857142857,928584.8571428572,225501.42857142858,165225.7142857143,FL
11.0,4631205.142857143,16407744.857142856,61533700.0,14557743.714285715,14362318.57142857,7393004.285714285,9751533.142857144,9295350.857142856,3664893.4285714286,1336239.7142857143,837154.2857142857,243347.7142857143,92114.28571428571,GA
11.0,783096.5714285715,2057797.4285714286,6214103.857142857,1911840.2857142857,1604215.4285714286,701467.5714285715,829045.1428571428,1010367.1428571428,107836.14285714286,22445.571428571428,14064.857142857143,4362.571428571428,8459.142857142857,HI
11.0,1445078.5714285714,4867211.428571428,18794477.42857143,4798928.0,4735039.142857143,2114034.5714285714,2556875.1428571427,2664621.714285714,1094975.142857143,489569.71428571426,265264.5714285714,57685.142857142855,17484.285714285714,IA
11.0,835442.5714285715,2672973.4285714286,9154198.57142857,2408292.285714286,2281025.714285714,1056921.142857143,1314939.142857143,1230128.0,457191.4285714286,220854.85714285713,135606.0,34028.28571428572,15211.714285714286,ID
